customer_city,payment_value
capitao leonidas marques,512.09
capitao poco,540.89
capitolio,590.12
capivari,5252.8099999999995
capivari de baixo,1028.73
capivari do sul,197.95
capoeiras,190.53
caputira,590.6600000000001
caracol,111.1
caraguatatuba,13412.43
carai,626.69
caraiba,487.15
caraibas,249.8
carajas,646.56
carambei,456.25
carandai,1386.44
carangola,4843.37
carapebus,786.52
carapicuiba,36704.65
caratinga,11211.449999999999
caraubas,1246.76
caravelas,466.78
carazinho,2466.74
carbonita,841.12
cardoso,1095.32
cardoso moreira,616.88
careacu,169.58999999999997
cariacica,19353.08
caridade,99.9
carinhanha,451.5
carire,236.28
cariri do tocantins,354.26
caririacu,519.14
carius,618.69
carlinda,245.67000000000002
carlopolis,901.18
carlos barbosa,3015.42
carlos chagas,157.37
carmesia,280.63
carmo,1742.8600000000001
carmo da cachoeira,370.64
carmo da mata,578.61
carmo de minas,699.53
carmo do cajuru,1932.42
carmo do paranaiba,4652.95
carmo do rio claro,1969.5300000000002
carmo do rio verde,206.32
carmolandia,167.45
carmopolis,163.45
carmopolis de minas,1756.72
carnaiba do sertao,99.1
carnauba dos dantas,168.45
carnaubais,429.65000000000003
carnaubal,265.88
carneirinho,345.03
carolina,500.69
carpina,2600.23
carrancas,180.62
caruaru,12282.07
carutapera,251.23000000000002
carvalhopolis,308.84000000000003
casa branca,1500.45
casa nova,1269.54
casca,1628.94
cascalho rico,85.92
cascavel,28403.13
caseiros,152.66
casimiro de abreu,3963.31
cassia,364.40999999999997
cassia dos coqueiros,90.17
cassilandia,1677.59
castanhal,4500.22
castanheira,189.39
castanheiras,80.8
castelandia,688.41
castelo,1990.94
castelo do piaui,577.67
castilho,3043.6
castro,4347.650000000001
castro alves,101.76
cataguases,5139.96
catalao,6317.65
catanduva,10922.029999999999
catanduvas,834.99
catarina,295.28999999999996
catas altas,1160.35
catende,1941.6799999999998
catigua,788.52
catole do rocha,4066.6900000000005
catu,1763.24
catu de abrantes,1295.8600000000001
catuipe,655.72
caturama,40.79
caucaia,7092.72
cavalcante,228.07
caxambu,2161.84
caxambu do sul,34.6
caxias,2604.15
caxias do sul,41558.68
caxingo,53.84
ceara-mirim,351.02
cedral,1956.8700000000001
cedro,356.11
cedro de sao joao,2235.98
cedro do abaete,58.09
ceilandia,68.84
celina,208.23
celso ramos,1440.96
centenario,162.47
centenario do sul,465.35
central,142.89
central de santa helena,158.76
centralina,45.09
centro novo do maranhao,352.80999999999995
cerejeiras,161.23
ceres,2116.38
cerqueira cesar,4059.12
cerquilho,3726.88
cerrito,77.57
cerro azul,250.18
cerro grande,68.02
cerro grande do sul,222.36
cerro largo,907.81
cerro negro,153.32
cesario lange,2209.06
ceu azul,525.29
cezarina,31.72
cha de alegria,108.95
cha grande,186.49
chacara,226.28
chale,156.22
chapada,1545.3300000000002
chapada do norte,411.87
chapada dos guimaraes,854.78
chapada gaucha,528.01
chapadao do ceu,1343.25
chapadao do lageado,321.9
chapadao do sul,1913.4099999999999
chapadinha,287.06
chapeco,17500.06
charqueada,1290.88
charqueadas,2125.02
charrua,141.63
chaval,179.45
chavantes,1154.1399999999999
chaveslandia,277.51
chiapetta,148.15
chopinzinho,211.14
chorozinho,398.42
chorrocho,73.18
chui,908.1600000000001
cianorte,5691.55
cicero dantas,4097.2
cidade gaucha,950.1
cidade ocidental,876.57
cidelandia,528.8
cidreira,769.02
cipo,230.12
cipo-guacu,78.71
ciriaco,252.74
claraval,197.04
claro dos pocoes,123.68
claudia,418.37
claudio,3403.8
clementina,472.98
clevelandia,218.19
coaraci,1468.12
coari,1259.04
cocais,281.3
cocal,1151.9099999999999
cocal do sul,2182.24
cocalinho,576.56
cocalzinho de goias,203.08
cocos,73.27
codo,2943.12
coelho neto,418.6
coimbra,55.01
coite do noia,111.01
colatina,8456.83
colider,2943.95
colina,762.25
colinas,1311.49
colinas do tocantins,643.0799999999999
colmeia,180.69
colniza,875.49
colombia,457.24
colombo,9014.88
colonia castrolanda,1041.7
colonia jordaozinho,1071.03
colonia leopoldina,531.85
colonia vitoria,409.72999999999996
colorado,1405.6499999999999
colorado do oeste,334.64
coluna,344.56
combinado,54.63
comendador levy gasparian,746.5600000000001
comercinho,144.65
comodoro,2504.2799999999997
conceicao,175.24
conceicao da aparecida,1063.6499999999999
conceicao da barra,398.59
conceicao da feira,802.95
conceicao da ibitipoca,55.09
conceicao das alagoas,1641.3999999999999
conceicao das pedras,412.05
conceicao de macabu,1970.24
conceicao do almeida,120.14
conceicao do araguaia,1494.6
conceicao do caninde,181.81
conceicao do castelo,658.0
conceicao do coite,1307.04
conceicao do formoso,215.24
conceicao do jacuipe,247.07999999999998
conceicao do mato dentro,1606.34
conceicao do para,749.5500000000001
conceicao do rio verde,970.15
conceicao do tocantins,433.96999999999997
conceicao dos ouros,714.92
conchal,2464.88
conchas,1229.22
concordia,6730.96
concordia do para,1120.8999999999999
condado,1071.11
conde,881.52
condeuba,73.83
condor,301.47
confins,444.25
confresa,1371.62
congonhal,568.19
congonhas,3618.83
congonhinhas,338.86
conquista,602.4200000000001
conquista d'oeste,154.04
conrado,126.12
conselheiro lafaiete,10690.31
conselheiro mairinck,81.55
conselheiro pena,2393.18
conservatoria,997.19
constantina,348.77
contagem,57284.7
contenda,104.61
coqueiro baixo,121.76
coqueiros do sul,49.06
coracao de jesus,173.38
coracao de maria,306.06
corbelia,785.22
cordeiro,3098.4300000000003
cordeiropolis,1597.09
cordeiros,363.64
coreau,54.81
coremas,367.59
corguinho,262.66999999999996
coribe,816.78
corinto,1545.6299999999999
cornelio procopio,2705.58
coroaci,374.99
coroados,239.34
coroata,1328.47
coromandel,2956.71
coronel domingos soares,106.87
coronel fabriciano,4914.66
coronel freitas,98.65
coronel joao pessoa,124.33
coronel joao sa,689.71
coronel macedo,118.25
coronel martins,152.14
coronel murta,255.84
coronel pacheco,99.9
coronel sapucaia,106.23
coronel vivida,1058.59
corrego danta,57.62
corrego do ouro,45.01
corrego fundo,144.65
correia pinto,1680.18
corrente,1831.15
correntes,221.59
correntina,188.11
cortes,305.32000000000005
corumba,5627.08
corumba de goias,163.28
corumbaiba,256.47
corumbatai,74.13
corumbatai do sul,45.78
corupa,568.4300000000001
coruripe,1359.09
cosmopolis,7645.27
cosmorama,1091.55
costa marques,1658.28
costa rica,1273.9
cotegipe,103.15
cotia,33316.26
cotipora,127.53
cotriguacu,220.48000000000002
couto de magalhaes,242.63
coxilha,191.5
coxim,1854.6200000000001
crateus,2779.4
crato,3847.13
cravinhos,2838.32
cravolandia,187.83
criciuma,16054.82
crisolita,134.24
crisopolis,242.61
crissiumal,1671.3000000000002
cristais,249.61
cristais paulista,600.64
cristal,631.04
cristalandia,1067.93
cristalia,517.31
cristalina,2275.49
cristiano otoni,279.38
cristina,1168.74
cristinapolis,145.37
cristopolis,113.94999999999999
crixas,1129.44
croata,87.8
crominia,61.0
crucilandia,30.47
cruz,1772.56
cruz alta,3471.23
cruz das almas,2486.5699999999997
cruz machado,523.23
cruzalia,348.25
cruzeiro,7458.7699999999995
cruzeiro da fortaleza,144.29999999999998
cruzeiro do iguacu,148.15
cruzeiro do oeste,982.5
cruzeiro do sul,3510.34
cruzilia,447.26
cubatao,8171.42
cubati,187.59
cuiaba,45870.56
cuite,796.51
cuite velho,35.09
cujubim,132.94
cumari,229.51
cumaru,399.98
cunha,3118.0
cunha pora,820.95
cupira,65.53
curaca,542.24
curitiba,238582.26
curitibanos,3469.8
curiuva,364.52
currais novos,1720.3400000000001
curral de cima,199.0
curralinho,355.29
curuca,604.4499999999999
cururupu,754.67
curvelandia,243.78
curvelo,6406.88
custodia,752.1700000000001
damianopolis,63.84
dario meira,225.26
datas,920.94
david canabarro,222.77
delfim moreira,39.37
delfinopolis,318.02
delmiro gouveia,1353.71
demerval lobao,40.38
denise,566.63
deodapolis,111.21000000000001
deputado irapuan pinheiro,239.0
descalvado,1439.57
descoberto,264.02000000000004
desembargador otoni,196.02
desterro,639.98
desterro de entre rios,58.28
desterro do melo,35.86
dezesseis de novembro,102.75
diadema,33305.0
diamante d'oeste,307.69
diamante do norte,515.27
diamantina,2907.93
diamantino,527.42
dianopolis,1165.41
dias d avila,61.79
dias d'avila,3044.98
diogo de vasconcelos,244.70999999999998
dionisio,154.42000000000002
dionisio cerqueira,500.53999999999996
diorama,266.92
divinesia,333.51
divino,1466.16
divino das laranjeiras,51.1
divino de sao lourenco,149.16
divinolandia,1482.9
divinolandia de minas,312.82
divinopolis,38392.73
divinopolis de goias,94.3
divinopolis do tocantins,139.27
divisa alegre,232.35000000000002
divisa nova,788.71
dobrada,508.9
doce grande,67.72
dois corregos,1402.59
dois irmaos,3847.42
dois irmaos do buriti,890.1500000000001
dois riachos,152.25
dois vizinhos,2881.38
dom aquino,520.36
dom basilio,172.70999999999998
dom cavati,93.08
dom eliseu,515.08
dom feliciano,635.95
dom joaquim,163.38
dom macedo costa,82.83
dom pedrito,1708.0900000000001
dom pedro,438.68
dom silverio,484.12
dom vicoso,313.8
domiciano ribeiro,149.38
domingos martins,1353.6299999999999
dona emma,47.81
dona euzebia,354.94000000000005
dona francisca,340.15
dores de campos,1464.19
dores do indaia,928.86
dores do rio preto,526.33
dormentes,1067.73
douradina,118.65
dourado,1316.93
dourados,10531.87
doutor camargo,230.63
doutor ulysses,158.61
doverlandia,311.87
dracena,5186.38
duartina,1453.3
duas barras,36.95
duere,158.77
dumont,336.91999999999996
duque de caxias,38406.23
durande,146.19
echapora,847.25
ecoporanga,1145.83
edeia,560.9100000000001
eldorado,666.35
eldorado do sul,2127.04
elias fausto,481.48
eliseu martins,403.06
elisiario,64.1
elisio medrado,118.75
eloi mendes,2077.95
embauba,414.81
embu,1719.66
embu das artes,22400.920000000002
embu-guacu,7062.82
emilianopolis,198.49
encantado,3196.4500000000003
encruzilhada do sul,1142.59
eneas marques,237.14999999999998
engenheiro balduino,205.54
engenheiro coelho,1186.47
engenheiro navarro,2106.55
engenheiro passos,291.24
engenheiro paulo de frontin,590.89
entre folhas,106.07
entre rios,1241.52
entre rios de minas,1709.62
entre rios do oeste,148.57999999999998
entre-ijuis,585.04
epitaciolandia,139.52
erebango,139.42
erechim,7689.06
erere,226.23
erico cardoso,24.88
erval grande,432.74
ervalia,1230.45
escada,3556.7
esmeralda,160.76
esmeraldas,2043.24
espera feliz,3751.42
esperanca,2108.09
esperantina,692.04
esperantinopolis,771.4100000000001
espigao,100.52
espigao alto do iguacu,209.32
espigao do oeste,951.17
espinosa,2947.44
espirito santo do pinhal,2464.2799999999997
espirito santo do turvo,268.84000000000003
esplanada,1808.34
espumoso,1480.46
estacao,815.22
estancia,3157.9500000000003
estancia velha,3563.85
esteio,6986.450000000001
estevao de araujo,32.43
estiva,29.13
